movieId,rating_count,rating_sum,mean_rating
1,68997,268911.5,3.8974375697494095
2,28904,94682.5,3.2757576805978412
3,13134,41233.5,3.1394472361809047
4,2806,7984.0,2.8453314326443335
5,13154,40246.0,3.0596016420860574
6,29490,114075.5,3.8682773821634453
7,13585,45699.5,3.363967611336032
8,1510,4704.5,3.1155629139072847
9,4154,12411.0,2.9877226769378913
10,32474,111316.0,3.4278499722855207
11,19127,69950.5,3.6571600355518377
12,4258,11280.0,2.649131047440113
13,2107,7067.0,3.3540579022306596
14,6116,20967.5,3.428302812295618
15,3099,8463.0,2.7308809293320424
16,22298,85587.5,3.8383487308278768
17,22251,87783.0,3.9451260617500337
18,6191,21071.0,3.403488935551607
19,24849,66195.5,2.663910016499658
20,4306,12364.5,2.8714584300975385
21,24829,88517.5,3.5650851826493213
22,10317,34210.0,3.315886401085587
23,4717,14860.5,3.1504133983464064
24,8293,26422.0,3.186060532979621
25,22525,82806.0,3.6761820199778024
26,2802,10109.5,3.6079586009992863
27,1802,6149.5,3.412597114317425
28,3310,13376.5,4.041238670694864
29,9413,36992.0,3.929884202698396
30,1300,4718.5,3.6296153846153847
31,10223,33134.5,3.2411718673579184
32,55275,216135.5,3.910185436454093
33,67,202.0,3.014925373134328
34,35969,129018.5,3.586935972643109
35,1497,5217.5,3.485303941215765
36,21759,85307.5,3.920561606691484
37,85,253.5,2.9823529411764707
38,750,2189.5,2.9193333333333333
39,30616,104983.0,3.4290240397177945
40,880,3193.0,3.628409090909091
41,4760,18260.5,3.8362394957983192
42,2568,7816.5,3.0438084112149535
43,2572,8895.0,3.458398133748056
44,12261,32727.0,2.669195008563739
45,9306,31440.5,3.3785192349022135
46,3179,10388.5,3.267851525636993
47,63298,258711.5,4.087198647666593
48,15667,46848.0,2.9902342503350994
49,263,928.0,3.5285171102661597
50,67750,288958.5,4.265070110701107
51,30,78.0,2.6
52,9518,33566.5,3.526633746585417
53,159,585.0,3.6792452830188678
54,1057,2976.5,2.815988647114475
55,944,3047.5,3.2282838983050848
56,74,145.0,1.9594594594594594
57,2451,8119.5,3.3127294981640145
58,11659,46260.0,3.9677502358692855
59,194,692.5,3.5695876288659796
60,6708,20732.0,3.090638044126416
61,2327,7704.5,3.3109153416415986
62,20596,76449.5,3.711861526510002
63,2696,8369.0,3.104228486646884
64,2076,5869.0,2.827071290944123
65,5248,12455.5,2.373380335365854
66,2415,5153.5,2.1339544513457556
67,179,594.0,3.3184357541899443
68,1241,4255.0,3.428686543110395
69,5039,17892.0,3.550704504862076
70,16824,56247.0,3.3432596291012837
71,1341,3141.0,2.3422818791946307
72,1378,4794.0,3.478955007256894
73,2982,11321.5,3.796613011401744
74,3565,11727.5,3.2896213183730714
75,590,1433.5,2.4296610169491526
76,3609,10923.5,3.0267387087835966
77,221,757.0,3.425339366515837
78,1258,3992.5,3.1736883942766294
79,5614,17529.5,3.122461702885643
80,595,2225.0,3.7394957983193278
81,3311,10769.5,3.2526427061310783
82,2555,10246.0,4.010176125244619
83,589,2144.5,3.640916808149406
84,158,533.5,3.3765822784810124
85,2703,9523.0,3.523122456529782
86,4374,15218.0,3.4791952446273435
87,1076,2562.0,2.3810408921933086
88,5419,16846.5,3.1087839084701976
89,3451,10792.0,3.127209504491452
90,218,729.0,3.3440366972477062
92,2360,6705.5,2.841313559322034
93,2130,5321.0,2.4981220657276997
