movieId,movieIndex,rating_count,mean_rating
1,0,68997,3.8974375697494095
2,1,28904,3.275757680597841
3,2,13134,3.1394472361809047
4,3,2806,2.845331432644333
5,4,13154,3.059601642086057
6,5,29490,3.868277382163445
7,6,13585,3.363967611336032
8,7,1510,3.1155629139072847
9,8,4154,2.9877226769378917
10,9,32474,3.4278499722855207
11,10,19127,3.6571600355518377
12,11,4258,2.649131047440113
13,12,2107,3.35405790223066
14,13,6116,3.428302812295618
15,14,3099,2.7308809293320424
16,15,22298,3.8383487308278768
17,16,22251,3.9451260617500337
18,17,6191,3.403488935551607
19,18,24849,2.663910016499658
20,19,4306,2.8714584300975385
21,20,24829,3.5650851826493213
22,21,10317,3.315886401085587
23,22,4717,3.1504133983464064
24,23,8293,3.186060532979621
25,24,22525,3.6761820199778015
26,25,2802,3.6079586009992863
27,26,1802,3.412597114317425
28,27,3310,4.041238670694864
29,28,9413,3.929884202698396
30,29,1300,3.6296153846153847
31,30,10223,3.2411718673579184
32,31,55275,3.910185436454093
33,32,67,3.014925373134328
34,33,35969,3.586935972643109
35,34,1497,3.485303941215765
36,35,21759,3.920561606691484
37,36,85,2.9823529411764707
38,37,750,2.9193333333333333
39,38,30616,3.4290240397177945
40,39,880,3.628409090909091
41,40,4760,3.8362394957983192
42,41,2568,3.043808411214953
43,42,2572,3.458398133748056
44,43,12261,2.669195008563739
45,44,9306,3.378519234902213
46,45,3179,3.267851525636993
47,46,63298,4.087198647666593
48,47,15667,2.9902342503351
49,48,263,3.52851711026616
50,49,67750,4.265070110701107
51,50,30,2.6
52,51,9518,3.526633746585417
53,52,159,3.679245283018868
54,53,1057,2.815988647114475
55,54,944,3.2282838983050848
56,55,74,1.9594594594594597
57,56,2451,3.3127294981640145
58,57,11659,3.9677502358692855
59,58,194,3.56958762886598
60,59,6708,3.090638044126416
61,60,2327,3.3109153416415986
62,61,20596,3.711861526510002
63,62,2696,3.104228486646884
64,63,2076,2.827071290944123
65,64,5248,2.373380335365854
