userId,rating_count,rating_sum,mean_rating
1,141,498.0,3.5319148936170213
2,52,222.0,4.269230769230769
3,147,527.5,3.5884353741496597
4,27,71.0,2.6296296296296298
5,33,108.0,3.272727272727273
6,26,108.5,4.173076923076923
7,44,160.0,3.6363636363636362
8,31,134.0,4.32258064516129
9,58,246.0,4.241379310344827
10,660,1839.5,2.787121212121212
11,20,63.0,3.15
12,23,66.5,2.891304347826087
13,65,237.0,3.646153846153846
14,29,144.5,4.982758620689655
15,82,283.5,3.457317073170732
16,295,794.0,2.6915254237288138
17,86,360.0,4.186046511627907
18,138,522.5,3.786231884057971
19,47,198.0,4.212765957446808
20,140,538.5,3.8464285714285715
21,35,134.0,3.8285714285714287
22,63,234.5,3.7222222222222223
23,63,280.5,4.4523809523809526
24,45,157.0,3.488888888888889
25,87,289.5,3.3275862068965516
26,33,147.5,4.46969696969697
27,62,231.5,3.7338709677419355
28,2842,9725.0,3.4218859957776213
29,151,497.0,3.2913907284768213
30,21,63.5,3.0238095238095237
31,67,271.0,4.044776119402985
32,44,159.0,3.6136363636363638
33,265,1130.5,4.266037735849056
34,123,446.0,3.6260162601626016
35,503,1973.5,3.923459244532803
36,125,456.0,3.648
37,235,698.0,2.970212765957447
38,29,112.0,3.8620689655172415
39,57,213.0,3.736842105263158
40,101,423.0,4.188118811881188
41,37,113.0,3.054054054054054
42,48,191.0,3.9791666666666665
43,150,480.0,3.2
44,102,391.5,3.838235294117647
45,25,105.0,4.2
46,151,584.5,3.870860927152318
47,58,232.0,4.0
48,106,416.0,3.9245283018867925
49,37,142.0,3.8378378378378377
50,118,498.0,4.220338983050848
51,48,131.0,2.7291666666666665
52,80,250.5,3.13125
53,40,190.5,4.7625
54,45,188.0,4.177777777777778
55,21,86.5,4.119047619047619
56,97,307.0,3.1649484536082473
57,40,122.0,3.05
58,35,139.0,3.9714285714285715
59,417,1359.0,3.258992805755396
60,43,172.0,4.0
61,52,186.0,3.576923076923077
62,178,684.0,3.842696629213483
63,95,394.0,4.147368421052631
64,243,813.0,3.345679012345679
65,552,1406.0,2.5471014492753623
66,165,649.0,3.933333333333333
67,149,571.5,3.835570469798658
68,110,395.0,3.590909090909091
69,43,176.0,4.093023255813954
70,662,2277.0,3.4395770392749245
71,29,107.0,3.689655172413793
72,84,338.0,4.023809523809524
73,58,191.0,3.293103448275862
74,175,625.5,3.5742857142857143
75,62,254.0,4.096774193548387
76,459,1625.0,3.5403050108932463
77,67,252.0,3.7611940298507465
78,274,967.0,3.5291970802919708
79,50,192.5,3.85
80,343,1278.0,3.7259475218658893
81,100,327.5,3.275
82,28,109.0,3.892857142857143
83,150,620.5,4.136666666666667
84,289,1153.0,3.98961937716263
85,107,341.0,3.1869158878504673
86,258,960.0,3.7209302325581395
87,395,1335.5,3.381012658227848
88,231,892.0,3.8614718614718613
89,61,183.0,3.0
90,75,217.0,2.8933333333333335
91,83,288.0,3.4698795180722892
92,74,313.0,4.22972972972973
93,175,627.0,3.5828571428571427
94,246,893.5,3.6321138211382116
95,39,122.0,3.128205128205128
96,120,499.0,4.158333333333333
97,47,183.5,3.904255319148936
98,29,109.0,3.7586206896551726
99,25,105.5,4.22
100,249,875.5,3.5160642570281126
101,93,342.0,3.6774193548387095
102,47,158.0,3.3617021276595747
103,232,890.5,3.8383620689655173
104,48,145.5,3.03125
105,46,186.0,4.043478260869565
106,111,419.0,3.774774774774775
107,225,755.5,3.3577777777777778
108,30,127.0,4.233333333333333
109,721,2263.5,3.1393897364771153
110,101,352.0,3.485148514851485
111,138,521.0,3.7753623188405796
112,24,101.5,4.229166666666667
113,29,107.0,3.689655172413793
114,144,612.5,4.253472222222222
115,483,1823.5,3.7753623188405796
116,78,287.5,3.6858974358974357
117,58,150.0,2.586206896551724
118,184,743.0,4.038043478260869
119,83,336.5,4.054216867469879
120,325,1308.0,4.024615384615385
121,77,300.5,3.9025974025974026
122,154,543.5,3.529220779220779
123,20,78.0,3.9
124,122,476.0,3.901639344262295
125,33,118.0,3.5757575757575757
126,74,295.5,3.9932432432432434
127,226,623.5,2.7588495575221237
128,515,1563.5,3.0359223300970872
129,28,107.0,3.8214285714285716
130,147,560.0,3.8095238095238093
131,135,417.5,3.0925925925925926
132,21,84.5,4.023809523809524
133,36,154.5,4.291666666666667
134,51,201.0,3.9411764705882355
135,128,474.0,3.703125
136,52,209.5,4.028846153846154
137,179,654.5,3.6564245810055866
138,438,1494.5,3.4121004566210047
139,57,226.5,3.973684210526316
140,82,362.5,4.420731707317073
141,159,601.5,3.7830188679245285
142,26,98.0,3.769230769230769
143,66,225.0,3.409090909090909
144,139,559.5,4.025179856115108
145,42,149.0,3.5476190476190474
146,112,406.0,3.625
147,34,122.0,3.588235294117647
148,328,711.5,2.169207317073171
149,67,258.0,3.8507462686567164
150,99,387.0,3.909090909090909
151,500,1669.5,3.339
152,24,62.5,2.6041666666666665
153,29,114.0,3.9310344827586206
154,57,221.0,3.8771929824561404
155,63,232.0,3.6825396825396823
156,29,121.0,4.172413793103448
157,417,1625.0,3.8968824940047964
158,571,1719.0,3.010507880910683
159,77,298.0,3.8701298701298703
160,39,143.5,3.6794871794871793
161,99,350.0,3.5353535353535355
162,25,84.5,3.38
163,379,1393.0,3.6754617414248023
164,74,280.0,3.7837837837837838
165,20,74.0,3.7
166,71,248.0,3.492957746478873
167,31,114.0,3.6774193548387095
168,42,162.0,3.857142857142857
169,20,86.0,4.3
170,25,111.5,4.46
171,42,179.5,4.273809523809524
172,165,495.0,3.0
173,185,636.0,3.437837837837838
174,254,924.5,3.6397637795275593
175,73,308.0,4.219178082191781
176,258,897.5,3.4786821705426356
177,85,393.0,4.623529411764705
178,100,381.0,3.81
179,74,250.0,3.3783783783783785
180,23,64.5,2.8043478260869565
181,21,93.5,4.4523809523809526
182,37,128.5,3.472972972972973
183,72,336.0,4.666666666666667
184,105,392.0,3.7333333333333334
185,83,279.0,3.36144578313253
186,101,388.0,3.8415841584158414
187,675,1854.5,2.7474074074074073
188,2202,7603.0,3.4527702089009993
189,73,284.0,3.8904109589041096
190,55,225.0,4.090909090909091
191,27,105.5,3.9074074074074074
192,49,203.0,4.142857142857143
193,27,104.0,3.8518518518518516
194,132,551.5,4.178030303030303
195,47,166.5,3.5425531914893615
196,95,386.0,4.063157894736842
197,192,656.0,3.4166666666666665
198,165,607.5,3.6818181818181817
199,29,117.0,4.0344827586206895
200,40,145.0,3.625
201,89,373.5,4.196629213483146
202,54,182.0,3.3703703703703702
203,339,1193.0,3.5191740412979353
204,285,1208.5,4.2403508771929825
205,39,146.0,3.7435897435897436
206,143,643.5,4.5
207,89,297.0,3.337078651685393
208,540,1923.0,3.561111111111111
209,107,472.0,4.411214953271028
210,75,258.5,3.4466666666666668
211,97,378.0,3.8969072164948453
212,203,701.0,3.4532019704433496
213,212,839.0,3.957547169811321
214,81,262.5,3.240740740740741
215,222,790.0,3.5585585585585586
216,67,303.5,4.529850746268656
217,22,82.0,3.727272727272727
218,132,504.0,3.8181818181818183
219,82,308.0,3.7560975609756095
220,129,576.0,4.465116279069767
221,21,62.5,2.9761904761904763
222,25,87.0,3.48
223,210,730.0,3.4761904761904763
224,101,379.5,3.757425742574257
225,36,168.0,4.666666666666667
226,273,862.0,3.1575091575091574
227,30,95.0,3.1666666666666665
228,850,2924.5,3.4405882352941175
229,41,151.5,3.6951219512195124
230,35,138.5,3.9571428571428573
231,36,147.5,4.097222222222222
232,147,575.0,3.9115646258503403
233,27,109.0,4.037037037037037
