movieId,title,release_year,genres,director,tmdbId,poster_path,rich_content_fields
1,Toy Story,1995.0,Family|Comedy|Animation|Adventure,John Lasseter,862.0,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,5
2,Jumanji,1995.0,Adventure|Fantasy|Family,Joe Johnston,8844.0,/bdHG5Mo83VPobeZZdlSz0Y7HQHB.jpg,5
3,Grumpier Old Men,1995.0,Romance|Comedy,Howard Deutch,15602.0,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,5
4,Waiting to Exhale,1995.0,Comedy|Drama|Romance,Forest Whitaker,31357.0,/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,5
5,Father of the Bride Part II,1995.0,Comedy|Family,Charles Shyer,11862.0,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,5
6,Heat,1995.0,Crime|Drama|Action,Michael Mann,949.0,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,5
7,Sabrina,1995.0,Romance|Drama|Comedy,Sydney Pollack,11860.0,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,5
8,Tom and Huck,1995.0,Family|Action|Adventure|Drama,Peter Hewitt,45325.0,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,5
9,Sudden Death,1995.0,Action|Drama|Thriller|Crime,Peter Hyams,9091.0,/4Snihptli0we9I4W5QfufOdHSeV.jpg,5
10,GoldenEye,1995.0,Adventure|Action|Thriller,Martin Campbell,710.0,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,5
11,The American President,1995.0,Drama|Romance,Rob Reiner,9087.0,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,5
12,Dracula: Dead and Loving It,1995.0,Comedy|Horror|Fantasy,Mel Brooks,12110.0,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,5
13,Balto,1995.0,Adventure|Animation|Drama|Family,Simon Wells,21032.0,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,5
14,Nixon,1995.0,Drama|History,Oliver Stone,10858.0,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,5
15,Cutthroat Island,1995.0,Action|Adventure,Renny Harlin,1408.0,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,5
16,Casino,1995.0,Crime|Drama,Martin Scorsese,524.0,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,5
17,Sense and Sensibility,1995.0,Drama|Romance,Ang Lee,4584.0,/9YdQ73YmvInxpXZVNjEKePw9tRO.jpg,5
18,Four Rooms,1995.0,Comedy,Allison Anders,5.0,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,5
19,Ace Ventura: When Nature Calls,1995.0,Crime|Comedy|Adventure,Steve Oedekerk,9273.0,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,5
20,Money Train,1995.0,Action|Comedy|Crime,Joseph Ruben,11517.0,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,5
21,Get Shorty,1995.0,Comedy|Thriller|Crime,Barry Sonnenfeld,8012.0,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,5
22,Copycat,1995.0,Thriller|Crime|Mystery,Jon Amiel,1710.0,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,5
